iso3,country,first_period,last_valid_period,valid_months_through_cutoff,complete_run_ending_at_cutoff,recent_reported_months,data_screening,cusum_eligibility,forecast_eligibility,revision_comparison
AFG,Afghanistan,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
AGO,Angola,2012-01,2026-06,164,18,50,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ALB,Albania,2012-01,2026-05,136,0,33,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
AND,Andorra,2012-01,2021-01,109,0,0,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ARE,United Arab Emirates,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
ARG,Argentina,2015-01,2026-02,127,0,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ARM,Armenia,2012-01,2026-06,163,45,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ATG,Antigua and Barbuda,2016-04,2025-04,8,0,1,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
AUS,Australia,2012-01,2026-06,137,20,42,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
AUT,Austria,2012-01,2026-06,142,2,43,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
AZE,Azerbaijan,2012-01,2026-06,157,7,53,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BDI,Burundi,2012-01,2026-06,170,125,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BEL,Belgium,2012-01,2026-06,158,7,51,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BEN,Benin,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BFA,Burkina Faso,2012-01,2026-06,172,42,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BGD,Bangladesh,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BGR,Bulgaria,2012-01,2026-06,108,4,15,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BHR,Bahrain,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BHS,Bahamas,2016-07,2026-04,21,0,14,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BIH,Bosnia and Herzegovina,2013-02,2025-03,114,0,33,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BLR,Belarus,2012-01,2026-06,168,163,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BLZ,Belize,2015-01,2026-06,84,6,30,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BOL,Bolivia (Plurinational State of),2015-01,2026-06,138,138,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BRA,Brazil,2014-01,2026-06,150,150,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
BRB,Barbados,2015-02,2026-06,93,44,47,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BRN,Brunei Darussalam,2012-01,2026-06,135,37,48,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BTN,Bhutan,2012-01,2026-05,149,0,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
BWA,Botswana,2012-01,2026-05,151,0,48,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CAF,Central African Republic,2012-01,2026-06,171,71,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
CAN,Canada,2014-01,2026-06,106,21,40,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CHE,Switzerland,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
CHL,Chile,2015-01,2026-04,130,0,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CHN,China,2012-01,2026-06,173,42,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CIV,Côte d'Ivoire,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
CMR,Cameroon,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
COD,Democratic Republic of the Congo,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
COG,Congo,2012-01,2026-05,171,0,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
COK,Cook Islands,2012-12,2026-06,15,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
COL,Colombia,2015-01,2026-06,126,19,48,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
COM,Comoros,2012-01,2026-06,112,7,51,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CPV,Cabo Verde,2012-09,2023-01,7,0,1,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CRI,Costa Rica,2015-01,2026-06,126,48,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CUB,Cuba,2014-01,2026-06,150,150,60,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CYP,Cyprus,2012-01,2025-09,95,0,16,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
CZE,Czechia,2012-01,2026-04,110,0,19,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
DEU,Germany,2012-01,2026-05,166,0,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
DJI,Djibouti,2012-01,2026-06,49,6,44,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
DMA,Dominica,2016-03,2026-04,9,0,7,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
DNK,Denmark,2012-01,2025-12,91,0,19,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
DOM,Dominican Republic,2015-01,2026-06,138,138,60,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
DZA,Algeria,2012-01,2026-06,136,46,53,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ECU,Ecuador,2015-01,2026-03,75,0,39,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
EGY,Egypt,2012-01,2025-12,168,0,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ERI,Eritrea,2012-01,2026-04,141,0,40,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ESP,Spain,2012-01,2026-06,166,45,56,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
EST,Estonia,2012-01,2026-06,171,57,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ETH,Ethiopia,2012-01,2026-06,170,6,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
FIN,Finland,2012-01,2025-08,93,0,10,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
FJI,Fiji,2012-03,2026-06,172,172,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
FRA,France,2012-01,2026-06,161,42,53,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
FSM,Micronesia (Federated States of),2012-12,2026-06,21,1,6,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GAB,Gabon,2012-01,2026-06,172,71,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
GBR,United Kingdom of Great Britain and Northern Ireland,2012-01,2026-06,153,50,51,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GEO,Georgia,2012-01,2026-06,172,68,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
GHA,Ghana,2012-01,2026-05,168,0,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GIN,Guinea,2012-01,2026-05,157,0,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GMB,Gambia,2012-01,2026-06,140,35,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GNB,Guinea-Bissau,2012-01,2025-12,31,0,28,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GNQ,Equatorial Guinea,2012-03,2026-06,133,5,48,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GRC,Greece,2012-01,2025-08,100,0,14,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GRD,Grenada,2015-02,2026-05,31,0,20,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GTM,Guatemala,2015-01,2026-06,137,42,59,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
GUY,Guyana,2015-01,2025-04,73,0,20,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
HND,Honduras,2015-01,2026-06,138,138,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
HRV,Croatia,2012-01,2025-07,114,0,16,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
HTI,Haiti,2015-01,2026-06,137,118,60,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
HUN,Hungary,2012-01,2026-05,146,0,53,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
IDN,Indonesia,2012-01,2025-12,165,0,54,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
IND,India,2014-01,2026-06,150,150,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
IRL,Ireland,2012-01,2026-06,133,1,29,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
IRN,Iran (Islamic Republic of),2012-01,2026-01,169,0,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
IRQ,Iraq,2012-01,2026-06,172,66,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
ISL,Iceland,2012-01,2026-01,92,0,3,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ISR,Israel,2012-01,2026-01,85,0,24,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
ITA,Italy,2012-01,2026-06,169,62,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
JAM,Jamaica,2015-01,2026-06,113,29,50,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
JOR,Jordan,2012-01,2026-06,152,40,58,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
JPN,Japan,2012-01,2026-06,174,174,60,CANDIDATE FOR METHOD VALIDATION,LIMITED,NOT VALIDATED,unavailable
KAZ,Kazakhstan,2012-01,2026-06,153,42,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KEN,Kenya,2012-01,2026-06,169,6,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KGZ,Kyrgyzstan,2012-01,2026-04,146,0,57,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
KHM,Cambodia,2012-01,2026-06,168,9,55,NOT READY,NOT ELIGIBLE,NOT VALIDATED,unavailable
